flightdate,origincityname,crsdeptime,depdelay,distance,marketing_airline_network,hour,delayed,city_clean,latitude,longitude,temp_mean,precipitation,wind_speed
2018-01-12,"Minneapolis, MN",525,-1.0,907.0,DL,5,0,Minneapolis,44.97997,-93.26384,-18.6,0.0,13.0
2018-01-28,"Atlanta, GA",1953,-11.0,666.0,NK,19,0,Atlanta,33.749,-84.38798,11.0,30.5,10.4
2018-01-02,"Atlanta, GA",2107,-1.0,1027.0,DL,21,0,Atlanta,33.749,-84.38798,-5.6,0.0,9.7
2018-01-25,"Atlanta, GA",1759,0.0,515.0,DL,17,0,Atlanta,33.749,-84.38798,4.4,0.0,8.6
2018-01-26,"Charlotte, NC",921,3.0,282.0,AA,9,0,Charlotte,35.22709,-80.84313,4.7,0.0,8.0
2018-01-24,"Hartford, CT",1205,-7.0,1173.0,NK,12,0,Hartford,41.76371,-72.68509,1.3,0.1,13.4
2018-01-03,"Detroit, MI",630,25.0,1075.0,UA,6,1,Detroit,42.33143,-83.04575,-14.8,0.7,21.3
2018-01-23,"Atlanta, GA",951,-3.0,270.0,DL,9,0,Atlanta,33.749,-84.38798,10.8,12.1,18.7
2018-01-01,"New York, NY",1300,162.0,762.0,DL,13,1,New York,40.71427,-74.00597,-11.6,0.0,16.6
2018-01-04,"Honolulu, HI",1620,-9.0,2556.0,UA,16,0,Honolulu,21.30694,-157.85834,22.4,0.0,19.0
2018-01-10,"New York, NY",1745,-4.0,296.0,DL,17,0,New York,40.71427,-74.00597,-4.8,0.0,9.1
2018-01-20,"Charlotte, NC",1620,-5.0,75.0,AA,16,0,Charlotte,35.22709,-80.84313,3.7,0.0,9.2
2018-01-24,"Houston, TX",2130,-2.0,1303.0,NK,21,0,Houston,29.76328,-95.36327,9.5,0.0,10.0
2018-01-12,"Atlanta, GA",956,-2.0,508.0,DL,9,0,Atlanta,33.749,-84.38798,13.7,19.9,15.2
2018-01-12,"Atlanta, GA",2100,0.0,270.0,DL,21,0,Atlanta,33.749,-84.38798,13.7,19.9,15.2
