delayed,marketing_airline_network,airport_code,destcityname,distance,year,month,dayofmonth,day_of_week,hour,temp_mean,precipitation,wind_speed
1,UA,IND,"Houston, TX",1358.28296,2018,10,12,4,17,-13.88888888888889,3.2,14.5
0,DL,SAN,"Las Vegas, NV",415.20972,2018,10,27,5,10,-6.944444444444445,0.0,14.8
0,UA,BOI,"Los Angeles, CA",1084.69516,2018,1,29,0,15,-13.944444444444445,0.0,27.0
1,B6,EWR,"Fort Lauderdale, FL",1713.9471,2018,1,28,6,10,-13.222222222222221,4.3,22.2
0,AA,MIA,"Nashville, TN",1297.12804,2018,1,28,6,21,-4.611111111111111,0.4,28.8
0,DL,DEN,"Los Angeles, CA",1387.25108,2018,1,17,2,16,-18.22222222222222,0.0,11.8
0,UA,FAT,"San Francisco, CA",254.27572,2018,10,22,0,17,-7.472222222222222,0.0,14.2
0,AA,CLT,"Dallas/Fort Worth, TX",1506.34224,2018,1,26,4,22,-14.555555555555555,0.0,11.4
0,AA,LAX,"Boston, MA",3176.83716,2018,10,31,2,21,-7.722222222222222,0.0,22.7
0,WN,DEN,"Oklahoma City, OK",796.6233,2018,1,5,4,11,-16.02777777777778,0.0,14.7
0,UA,MDW,"Saginaw/Bay City/Midland, MI",357.27348,2018,10,27,5,7,-13.166666666666666,0.6,12.2
