year,month,dayofmonth,flightdate,marketing_airline_network,origincityname,destcityname,crsdeptime,deptime,depdelay,depdelayminutes,taxiout,wheelsoff,wheelson,taxiin,crsarrtime,arrtime,arrdelay,arrdelayminutes,crselapsedtime,actualelapsedtime,airtime,distance,distancegroup,carrierdelay,weatherdelay,nasdelay,securitydelay,lateaircraftdelay,hour,delayed,distance_bin,day_of_week,city_clean,state_clean,type,name,latitude,longitude,airport_code,temp_mean,precipitation,wind_speed
2018,11,27,2018-11-27,WN,"Houston, TX","Las Vegas, NV",1705,1748.0,43.0,43.0,8.0,1756.0,1850.0,6.0,1830,1856.0,26.0,26.0,205.0,188.0,174.0,1235.0,5,26.0,0.0,0.0,0.0,0.0,17,1,"(1107.0, 5095.0]",1,Houston,TX,medium_airport,William P Hobby Airport,29.645399,-95.2789,HOU,8.55,0.0,14.1
2018,11,9,2018-11-09,AA,"Chicago, IL","Houston, TX",955,1003.0,8.0,8.0,41.0,1044.0,1321.0,9.0,1252,1330.0,38.0,38.0,177.0,207.0,157.0,925.0,4,0.0,0.0,30.0,0.0,8.0,9,0,"(762.0, 1107.0]",4,Chicago,IL,large_airport,Chicago O'Hare International Airport,41.9786,-87.9048,ORD,-2.9000000000000004,4.3,24.5
2018,11,28,2018-11-28,WN,"Boston, MA","Chicago, IL",1525,1533.0,8.0,8.0,15.0,1548.0,1656.0,5.0,1715,1701.0,-14.0,0.0,170.0,148.0,128.0,861.0,4,0.0,0.0,0.0,0.0,0.0,15,0,"(762.0, 1107.0]",2,Boston,MA,large_airport,Logan International Airport,42.36197,-71.0079,BOS,2.85,0.0,26.7
2018,11,19,2018-11-19,WN,"Las Vegas, NV","Denver, CO",1020,1025.0,5.0,5.0,17.0,1042.0,1306.0,6.0,1315,1312.0,-3.0,0.0,115.0,107.0,84.0,628.0,3,0.0,0.0,0.0,0.0,0.0,10,0,"(507.0, 762.0]",0,Las Vegas,NV,large_airport,Harry Reid International Airport,36.083361,-115.151817,LAS,11.15,0.0,11.6
2018,10,2,2018-10-02,AA,"Washington, DC","Grand Rapids, MI",1059,1043.0,-16.0,0.0,13.0,1056.0,1219.0,5.0,1249,1224.0,-25.0,0.0,110.0,101.0,83.0,524.0,3,0.0,0.0,0.0,0.0,0.0,10,0,"(507.0, 762.0]",1,Washington,DC,large_airport,Ronald Reagan Washington National Airport,38.8521,-77.037697,DCA,23.1,1.3,16.6
2018,1,24,2018-01-24,UA,"Columbus, OH","Washington, DC",600,548.0,-12.0,0.0,22.0,610.0,700.0,6.0,718,706.0,-12.0,0.0,78.0,78.0,50.0,299.0,2,0.0,0.0,0.0,0.0,0.0,6,0,"(15.999, 305.0]",2,Columbus,OH,large_airport,Rickenbacker International Airport,39.813801,-82.927803,LCK,-0.3999999999999999,0.5,18.1
2018,1,20,2018-01-20,AA,"Los Angeles, CA","Honolulu, HI",1530,1529.0,-1.0,0.0,21.0,1550.0,1927.0,5.0,1948,1932.0,-16.0,0.0,378.0,363.0,337.0,2556.0,11,0.0,0.0,0.0,0.0,0.0,15,0,"(1107.0, 5095.0]",5,Los Angeles,CA,large_airport,Los Angeles International Airport,33.942501,-118.407997,LAX,12.45,0.0,33.9
2018,1,28,2018-01-28,AA,"Seattle, WA","Philadelphia, PA",815,807.0,-8.0,0.0,24.0,831.0,1551.0,8.0,1635,1559.0,-36.0,0.0,320.0,292.0,260.0,2378.0,10,0.0,0.0,0.0,0.0,0.0,8,0,"(1107.0, 5095.0]",6,Seattle,WA,medium_airport,Boeing Field King County International Airport,47.529999,-122.302002,BFI,9.0,4.6,26.3
2018,1,8,2018-01-08,DL,"Houston, TX","Salt Lake City, UT",745,750.0,5.0,5.0,35.0,825.0,1021.0,18.0,1021,1039.0,18.0,18.0,216.0,229.0,176.0,1195.0,5,5.0,0.0,13.0,0.0,0.0,7,0,"(1107.0, 5095.0]",0,Houston,TX,large_airport,George Bush Intercontinental Houston Airport,29.984399795532227,-95.34140014648438,IAH,12.6,3.4,24.0
2018,10,2,2018-10-02,UA,"Oklahoma City, OK","Houston, TX",1655,1645.0,-10.0,0.0,10.0,1655.0,1757.0,17.0,1827,1814.0,-13.0,0.0,92.0,89.0,62.0,395.0,2,0.0,0.0,0.0,0.0,0.0,16,0,"(305.0, 507.0]",1,Oklahoma City,OK,large_airport,Will Rogers World Airport,35.393388,-97.598248,OKC,23.9,1.3,22.1
2018,11,27,2018-11-27,DL,"Denver, CO","Atlanta, GA",1829,1827.0,-2.0,0.0,14.0,1841.0,2256.0,7.0,2324,2303.0,-21.0,0.0,175.0,156.0,135.0,1199.0,5,0.0,0.0,0.0,0.0,0.0,18,0,"(1107.0, 5095.0]",1,Denver,CO,medium_airport,Rocky Mountain Metropolitan Airport,39.908798,-105.116997,BJC,3.15,0.0,27.8
2018,12,23,2018-12-23,DL,"Green Bay, WI","Detroit, MI",1106,1051.0,-15.0,0.0,14.0,1105.0,1250.0,8.0,1329,1258.0,-31.0,0.0,83.0,67.0,45.0,287.0,2,0.0,0.0,0.0,0.0,0.0,11,0,"(15.999, 305.0]",6,Green Bay,WI,large_airport,Austin Straubel International Airport,44.483459,-88.130805,GRB,-1.4,0.0,20.6
2018,12,9,2018-12-09,UA,"San Diego, CA","Houston, TX",1024,1019.0,-5.0,0.0,24.0,1043.0,1517.0,8.0,1526,1525.0,-1.0,0.0,182.0,186.0,154.0,1303.0,6,0.0,0.0,0.0,0.0,0.0,10,0,"(1107.0, 5095.0]",6,San Diego,CA,large_airport,San Diego International Airport,32.7336006165,-117.190002441,SAN,14.65,0.0,14.5
2018,11,15,2018-11-15,UA,"Denver, CO","Little Rock, AR",1118,1112.0,-6.0,0.0,18.0,1130.0,1403.0,8.0,1424,1411.0,-13.0,0.0,126.0,119.0,93.0,771.0,4,0.0,0.0,0.0,0.0,0.0,11,0,"(762.0, 1107.0]",3,Denver,CO,medium_airport,Rocky Mountain Metropolitan Airport,39.908798,-105.116997,BJC,3.850000000000001,0.0,18.9
2018,1,5,2018-01-05,UA,"Chicago, IL","Dallas/Fort Worth, TX",700,658.0,-2.0,0.0,16.0,714.0,914.0,12.0,941,926.0,-15.0,0.0,161.0,148.0,120.0,802.0,4,0.0,0.0,0.0,0.0,0.0,7,0,"(762.0, 1107.0]",4,Chicago,IL,large_airport,Chicago O'Hare International Airport,41.9786,-87.9048,ORD,-15.25,0.0,16.7
2018,10,6,2018-10-06,DL,"Cleveland, OH","New York, NY",1200,1156.0,-4.0,0.0,10.0,1206.0,1330.0,5.0,1336,1335.0,-1.0,0.0,96.0,99.0,84.0,419.0,2,0.0,0.0,0.0,0.0,0.0,12,0,"(305.0, 507.0]",5,Cleveland,OH,large_airport,Cleveland Hopkins International Airport,41.411701,-81.8498,CLE,23.6,8.5,23.8
2018,10,28,2018-10-28,UA,"Houston, TX","Valparaiso, FL",1805,1804.0,-1.0,0.0,12.0,1816.0,1931.0,8.0,1949,1939.0,-10.0,0.0,104.0,95.0,75.0,528.0,3,0.0,0.0,0.0,0.0,0.0,18,0,"(507.0, 762.0]",6,Houston,TX,large_airport,George Bush Intercontinental Houston Airport,29.984399795532227,-95.34140014648438,IAH,21.4,0.0,11.9
2018,12,20,2018-12-20,AA,"Oklahoma City, OK","Phoenix, AZ",1545,1654.0,69.0,69.0,15.0,1709.0,1805.0,6.0,1719,1811.0,52.0,52.0,154.0,137.0,116.0,833.0,4,13.0,0.0,0.0,0.0,39.0,15,1,"(762.0, 1107.0]",3,Oklahoma City,OK,large_airport,Will Rogers World Airport,35.393388,-97.598248,OKC,8.55,0.0,38.2
2018,11,19,2018-11-19,DL,"Detroit, MI","Los Angeles, CA",1739,1739.0,0.0,0.0,15.0,1754.0,1915.0,6.0,1947,1921.0,-26.0,0.0,308.0,282.0,261.0,1979.0,8,0.0,0.0,0.0,0.0,0.0,17,0,"(1107.0, 5095.0]",0,Detroit,MI,large_airport,Detroit Metropolitan Wayne County Airport,42.21377,-83.353786,DTW,-0.0499999999999998,0.0,9.8
